,Candidate_ID,Quality_ID
0,12257,0
1,12257,1
2,11525,2
3,11525,3
4,11525,4
5,11882,0
6,11882,5
7,11673,6
8,11673,7
9,11673,8
10,10566,9
11,10566,6
12,10566,10
13,10566,11
14,10915,9
15,10915,6
16,10915,4
17,11626,12
18,11626,13
19,12726,0
20,12726,14
21,12726,3
22,12726,15
23,12726,16
24,12726,17
25,11758,18
26,11758,19
27,11758,20
28,11758,21
29,11758,11
30,10518,3
31,10518,20
32,10518,11
33,10518,22
34,13249,23
35,13249,24
36,13249,0
37,13249,10
38,13249,25
39,11708,26
40,11708,27
41,11708,28
42,12318,7
43,12318,26
44,12318,21
45,12318,29
46,12318,30
47,11671,31
48,11671,2
49,11671,22
50,11671,29
51,10412,32
52,10412,33
53,10412,34
54,10412,35
55,11047,14
56,11047,36
57,11047,8
58,11047,16
59,11033,32
60,11033,37
61,11033,30
62,11033,11
63,11516,26
64,11516,19
65,11516,38
66,11516,34
67,11516,17
68,10709,24
69,10709,12
70,10709,9
71,10709,39
72,10709,4
73,10709,34
74,10228,31
75,10228,12
76,10228,14
77,10228,29
78,11031,3
79,11031,2
80,11031,34
81,11031,25
82,12885,9
83,12885,20
84,12885,24
85,12885,40
86,12885,4
87,12885,41
88,13317,0
89,13317,24
90,13317,36
91,13317,16
92,13317,42
93,13317,10
94,10531,14
95,10531,23
96,10531,18
97,10531,29
98,12549,24
99,12549,2
100,12549,31
101,12549,40
102,12549,16
103,12185,6
104,12185,19
105,12185,11
106,12185,15
107,12185,4
108,12546,27
109,12546,24
110,12546,15
111,12546,28
112,12519,43
113,12519,26
114,12519,1
115,12622,15
116,12622,44
117,12622,30
118,12622,15
119,12839,0
120,12839,28
121,12839,30
122,12839,40
123,12656,19
124,12656,20
125,12656,8
126,12656,33
127,12656,10
128,10548,12
129,10548,18
130,10548,7
131,10548,4
132,13153,12
133,13153,14
134,13153,18
135,13153,13
136,10505,7
137,10505,19
138,10505,26
139,10505,5
140,11406,43
141,11406,7
142,11406,8
143,11406,5
144,11406,34
145,12108,45
146,12108,12
147,12108,22
148,12108,39
149,10695,27
150,10695,43
151,10695,19
152,10695,11
153,12262,38
154,12262,34
155,11628,27
156,11628,30
157,11628,34
158,11628,8
159,11226,20
160,11226,5
161,11226,29
162,12597,38
163,12597,16
164,12597,4
165,12597,34
166,12187,26
167,12187,43
168,12187,34
169,12187,17
170,10923,3
171,10923,45
172,10923,10
173,11604,23
174,11604,9
175,11604,2
176,11604,11
177,11604,8
178,11218,26
179,11218,44
180,11218,22
181,11218,10
182,11218,21
183,12404,38
184,12404,19
185,12404,31
186,12404,10
187,12404,1
188,11437,14
189,11437,23
190,11437,6
191,11437,34
192,11740,12
193,11740,11
194,11740,13
195,11740,17
196,10382,36
197,10382,9
198,10382,5
199,10382,37
200,10382,30
201,12398,18
202,12398,28
203,11449,12
204,11449,32
205,11449,8
206,11449,15
207,11449,16
208,10515,20
209,10515,19
210,10515,26
211,10515,33
212,13269,38
213,13269,3
214,13269,0
215,13269,28
216,13269,5
217,13154,2
218,13154,18
219,13154,32
220,13154,8
221,13154,10
222,13154,35
223,12970,32
224,12970,2
225,12970,35
226,12620,14
227,12620,44
228,12620,7
229,12620,35
230,12620,28
231,11653,38
232,11653,24
233,11653,11
234,12014,20
235,12014,2
236,12014,39
237,11832,9
238,11832,12
239,11832,31
240,11832,15
241,10675,15
242,10675,43
243,10675,19
244,10675,40
245,11107,38
246,11107,35
247,10408,24
248,10408,38
249,10408,1
250,10408,35
251,10408,40
252,12753,38
253,12753,36
254,12753,37
255,12753,35
256,12082,9
257,12082,10
258,12082,16
259,11826,43
260,11826,9
261,11826,27
262,11826,15
263,11826,10
264,11996,46
265,11996,6
266,11996,35
267,12906,24
268,12906,45
269,12906,12
270,12906,16
271,12906,29
272,10331,12
273,10331,0
274,10331,39
275,12431,36
276,12431,46
277,12431,42
278,11833,15
279,11833,16
280,11833,42
281,11833,30
282,10759,36
283,10759,3
284,10759,7
285,10759,42
286,10759,1
287,10665,36
288,10665,38
289,10665,31
290,10665,34
291,10665,10
292,12550,19
293,12550,7
294,12550,20
295,12550,42
296,12550,15
297,12535,0
298,12535,47
299,12535,25
300,12535,15
301,11955,14
302,11955,5
303,10957,9
304,10957,6
305,10957,0
306,10957,16
307,10957,1
308,12314,26
309,12314,32
310,12314,15
311,12314,13
312,12314,17
313,12560,20
314,12560,6
315,12560,46
316,12560,4
317,12560,30
318,11924,20
319,11924,45
320,11924,8
321,10687,23
322,10687,34
323,10687,41
324,10687,28
325,13192,14
326,13192,39
327,13192,42
328,12538,15
329,12538,39
330,12538,42
331,12689,0
332,12689,12
333,12689,32
334,12689,22
335,12689,42
336,12689,30
337,11225,2
338,11225,45
339,11225,12
340,11225,39
341,13213,19
342,13213,24
343,13213,25
344,13213,11
345,13213,16
346,10243,45
347,10243,14
348,10243,12
349,10243,35
350,10243,42
351,10243,22
352,12156,7
353,12156,39
354,10345,44
355,10345,6
356,10345,45
357,10345,13
358,10345,11
359,10195,26
360,10195,40
361,10195,25
362,10195,41
363,13277,6
364,13277,7
365,13277,34
366,12908,47
367,12908,32
368,12908,18
369,12908,42
370,12908,22
371,11502,38
372,11502,5
373,11502,33
374,11502,37
375,11995,7
376,11995,18
377,11995,23
378,11995,17
379,11995,11
380,11995,28
381,12996,14
382,12996,33
383,12857,20
384,12857,36
385,12857,2
386,12857,8
387,12857,33
388,12857,29
389,11561,45
390,11561,9
391,11561,6
392,11561,29
393,11305,47
394,11305,8
395,11861,27
396,11861,3
397,11861,44
398,11861,4
399,11781,3
400,11781,26
401,11781,23
402,11781,33
403,11280,26
404,11280,34
405,11280,39
406,11280,37
407,12677,24
408,12677,4
409,12677,34
410,12677,11
411,12198,9
412,12198,11
413,12198,4
414,12182,24
415,12182,1
416,11603,23
417,11603,7
418,11603,12
419,11603,1
420,11603,5
421,11603,8
422,11235,20
423,11235,1
424,13167,2
425,13167,46
426,13167,26
427,13167,1
428,13167,21
429,11544,32
430,11544,44
431,11544,5
432,11544,22
433,11544,25
434,10108,44
435,10108,15
436,10108,38
437,10108,10
438,11645,45
439,11645,14
440,11645,20
441,11645,34
442,11645,11
443,12276,23
444,12276,9
445,12276,43
446,12276,29
447,12276,40
448,10999,7
449,10999,24
450,10999,47
451,10999,17
452,10999,41
453,10999,5
454,10397,7
455,10397,3
456,10397,33
457,10397,16
458,12301,0
459,12301,46
460,12301,14
461,12301,34
462,10511,45
463,10511,35
464,10251,23
465,10251,20
466,10251,19
467,10251,34
468,10251,40
469,10251,1
470,11774,31
471,11774,3
472,11774,26
473,11774,15
474,11791,12
475,11791,23
476,11791,22
477,11791,25
478,11791,13
479,12083,9
480,12083,35
481,12083,22
482,12083,40
483,10506,3
484,10506,30
485,10506,33
486,10506,21
487,13141,44
488,13141,3
489,13141,9
490,13141,4
491,11842,20
492,11842,29
493,11842,33
494,11842,21
495,11274,3
496,11274,19
497,11274,41
498,11286,20
499,11286,2
500,11286,4
501,11286,1
502,11286,21
503,10140,3
504,10140,27
505,10140,23
506,10140,34
507,12360,3
508,12360,46
509,12360,4
510,12360,39
511,12360,37
512,11103,2
513,11103,38
514,11103,17
515,10560,43
516,10560,15
517,10560,25
518,10560,42
519,10560,4
520,11638,23
521,11638,0
522,11638,24
523,11638,15
524,11638,41
525,11662,23
526,11662,32
527,11662,43
528,11662,33
529,11662,5
530,12762,6
531,12762,26
532,12762,33
533,12762,1
534,11663,12
535,11663,15
536,11663,21
537,11663,37
538,12007,44
539,12007,9
540,12007,19
541,12007,17
542,12007,11
543,11489,47
544,11489,36
545,11489,9
546,11489,21
547,11489,28
548,11489,8
549,11680,20
550,11680,45
551,11680,39
552,11680,37
553,11680,10
554,11537,27
555,11537,30
556,11537,29
557,11537,28
558,12065,23
559,12065,12
560,12065,31
561,12065,37
562,12065,13
563,11418,26
564,11418,44
565,11418,18
566,11418,16
567,10029,24
568,10029,8
569,10029,13
570,10029,10
571,10273,38
572,10273,24
573,10273,43
574,10273,35
575,13200,19
576,13200,15
577,13200,15
578,13200,10
579,13200,8
580,12462,43
581,12462,28
582,12462,15
583,12497,47
584,12497,5
585,12497,28
586,12497,22
587,13336,27
588,13336,2
589,13336,16
590,13336,21
591,10551,9
592,10551,44
593,10551,26
594,10551,1
595,10551,30
596,12780,23
597,12780,19
598,12780,8
599,11137,2
600,11137,30
601,11137,10
602,11336,36
603,11336,0
604,11336,22
605,12886,38
606,12886,33
607,12886,17
608,10321,2
609,10321,16
610,10321,22
611,10321,29
612,12539,9
613,12539,19
614,12539,31
615,12539,10
616,12539,21
617,11738,15
618,11738,4
619,11738,17
620,10905,19
621,10905,24
622,10905,12
623,10905,10
624,12759,46
625,12759,41
626,12759,35
627,12073,27
628,12073,44
629,12073,36
630,12073,16
631,12073,42
632,12073,40
633,13266,15
634,13266,44
635,13266,43
636,13266,17
637,10472,15
638,10472,36
639,10472,40
640,10472,15
641,11379,26
642,11379,20
643,11379,17
644,11379,40
645,11379,29
646,10487,38
647,10487,15
648,12818,6
649,12818,43
650,12818,5
651,12818,1
652,11173,26
653,11173,12
654,11173,47
655,11173,39
656,11173,40
657,11173,29
658,11595,43
659,11595,41
660,10306,31
661,10306,0
662,10306,46
663,10306,13
664,10306,39
665,10306,4
666,13222,26
667,13222,9
668,13222,31
669,13222,40
670,13222,21
671,13222,8
672,11990,9
673,11990,41
674,11990,29
675,11990,5
676,12573,24
677,12573,7
678,12573,35
679,12573,16
680,11778,15
681,11778,28
682,11778,4
683,11659,24
684,11659,2
685,11659,17
686,11659,41
687,13187,31
688,13187,6
689,13187,41
690,13187,16
691,12910,46
692,12910,15
693,12910,12
694,12910,33
695,10577,36
696,10577,8
697,10577,4
698,10577,5
699,12131,3
700,12131,10
701,12131,41
702,12131,1
703,11487,7
704,11487,19
705,11487,42
706,11487,40
707,10392,9
708,10392,46
709,10392,15
710,10392,29
711,10392,22
712,10392,8
713,11641,2
714,11641,28
715,11641,11
716,12872,6
717,12872,5
718,10316,45
719,10316,8
720,10955,43
721,10955,45
722,10955,47
723,10955,4
724,10955,15
725,11419,24
726,11419,36
727,11419,6
728,11419,28
729,11419,4
730,11419,30
731,10041,12
732,10041,32
733,10041,29
734,10041,11
735,12948,46
736,12948,16
737,12948,15
738,12948,10
739,10465,18
740,10465,38
741,10465,39
742,10465,17
743,10465,41
744,10136,26
745,10136,32
746,10136,41
747,10136,35
748,10136,34
749,12174,24
750,12174,14
751,12174,2
752,12174,15
753,10458,36
754,10458,38
755,10458,40
756,11923,38
757,11923,29
758,11923,33
759,11923,37
760,12226,26
761,12226,43
762,12226,13
763,12226,17
764,12068,47
765,12068,17
766,11896,20
767,11896,34
768,11896,25
769,13097,43
770,13097,19
771,13097,39
772,13097,29
773,13084,32
774,13084,36
775,13084,39
776,13084,16
777,13084,30
778,10471,44
779,10471,0
780,10471,43
781,10471,42
782,10471,8
783,12785,45
784,12785,6
785,12785,38
786,12785,10
787,12785,8
788,12785,21
789,13170,19
790,13170,0
791,13170,2
792,13170,28
793,13170,39
794,10761,43
795,10761,7
796,10761,38
797,10761,4
798,10761,17
799,10322,32
800,10322,15
801,10322,10
802,11492,43
803,11492,29
804,11492,8
805,12418,7
806,12418,46
807,12418,22
808,12418,25
809,12418,8
810,11920,47
811,11920,38
812,11920,46
813,11920,1
814,11920,4
815,11920,42
816,10185,23
817,10185,40
818,10260,9
819,10260,13
820,10260,37
821,12555,2
822,12555,1
823,12555,37
824,12555,22
825,12388,6
826,12388,43
827,12388,5
828,12388,40
829,12388,41
830,12063,9
831,12063,38
832,12063,41
833,13058,27
834,13058,35
835,13058,28
836,13058,17
837,10685,15
838,10685,34
839,10685,21
840,10685,10
841,12004,31
842,12004,7
843,12004,34
844,12004,41
845,11458,0
846,11458,14
847,11458,7
848,11458,29
849,11458,39
850,10567,18
851,10567,19
852,10567,24
853,10567,17
854,10567,8
855,10380,12
856,10380,11
857,12738,12
858,12738,20
859,12738,15
860,12738,39
861,12598,26
862,12598,36
863,12598,33
864,12598,4
865,10123,0
866,10123,20
867,10123,2
