Quality_ID,Quality_Name,is_strength
0,Passionate,1
1,Introverted,0
2,Determined,1
3,Courteous,1
4,Anxious,0
5,Undisciplined,0
6,Creative,1
7,Versatile,1
8,Impatient,0
9,Innovative,1
10,Indifferent,0
11,Procrastination,0
12,Ambitious,1
13,Selfish,0
14,Patient,1
15,Competitive,1
16,Impulsive,0
17,Chatty,0
18,Efficient,1
19,Reliable,1
20,Composure,1
21,Sensitive,0
22,Indecisive,0
23,Organisation,1
24,Perfectionism,1
25,Conventional,0
26,Consistent,1
27,Empathy,1
28,Stubborn,0
29,Perfectionist,0
30,Passive,0
31,Curious,1
32,Independent,1
33,Overbearing,0
34,Critical,0
35,Controlling,0
36,Collaboration,1
37,Immature,0
38,Charisma,1
39,Intolerant,0
40,Distracted,0
41,Chaotic,0
42,Slow,0
43,Rational,1
44,Altruism,1
45,Problem Solving,1
46,Listening,1
47,Critical Thinking,1
